Order,Stage,Dependencies,Script,Reads,Writes,Paper Section
1,0 - VPM Scan,none,core/v22_raw_scan_fast.py,nothing (grid scan from scratch),"data/all_viable_raw_v8.csv, data/all_viable_representative_v8.csv",§3
2,1 - Relic Density,v22_raw_scan (code) + v27_boltzmann_relic (code),relic_density/smart_scan.py,nothing (own grid scan + Boltzmann bisection),"data/v31_all_relic_points.csv, data/v31_true_viable_points.csv (17 BPs)","§4.4, §6.2"
3,1 - Relic Density,v22_raw_scan (data + code) + v27_boltzmann_relic (code),relic_density/benchmark_extractor.py,data/all_viable_raw_v8.csv,data/v30_perfect_benchmarks.csv,§4.3
4,1 - Relic Density,v22_raw_scan (code) + v27_boltzmann_relic (code),relic_density/boltzmann_correction.py,config params,console only,§4.4 verify
5,1 - Relic Density,smart_scan (data) + v22_raw_scan (code),relic_density/plot_island.py,data/v31_all_relic_points.csv,"v31_island_of_viability.png, v31_bp1_velocity_profile.png",Figure 2
6,2 - Observations,v22_raw_scan (data + code) + smart_scan (data),observations/chi2_fit.py,"data/all_viable_raw_v8.csv, data/v31_true_viable_points.csv","v34_results.csv, v34_chi2_fit.png, v34_output.txt",§6
7,2 - Observations,global_config + v22_raw_scan (code),observations/observational_comparison.py,global_config.json (BPs + obs),output/v33_observational_comparison.png,Figure 3
8,2 - Observations,global_config + v22_raw_scan (code),observations/opusB_observational_comparison.py,global_config.json (BPs + obs),output/v33_observational_comparison.png (Harvey+15 fix),Figure 3 (fixed)
9,2 - Observations,global_config + v22_raw_scan (code),observations/map_compat_check.py,global_config.json,console only,Quick check
10,3 - MCMC,smart_scan (data) + v22_raw_scan (code),stats_mcmc/run_mcmc.py,data/v31_true_viable_points.csv,"v38_corner.png, v38_mcmc_chains.png, v38_lambda_posterior.png, v38_mcmc_samples.csv, v38_mcmc_samples.npy",§6
11,3 - MCMC,smart_scan (data) + v22_raw_scan (code),stats_mcmc/opusB_run_mcmc.py,data/v31_true_viable_points.csv,same as run_mcmc (lambda + Harvey fix),§6 (fixed)
12,3 - MCMC,run_mcmc (data),stats_mcmc/autocorr_diagnostic.py,output/v38_mcmc_samples.npy,autocorrelation plot,§6 convergence
13,4 - VPM Validation,smart_scan (data) + v22_raw_scan (code),vpm_scan/error_budget.py,data/v31_true_viable_points.csv (BP17),console,Appendix B
14,4 - VPM Validation,global_config only,vpm_scan/grid_convergence.py,none,"output/grid_convergence.png, PDF",Appendix B.1
15,4 - VPM Validation,global_config only,vpm_scan/attractive_repulsive_ratio.py,none,"output/attractive_repulsive_ratio.png, PDF",Appendix C
16,4 - VPM Validation,global_config only,vpm_scan/transfer_elastic_ratio.py,none,"output/transfer_elastic_ratio.png, PDF",Appendix C
17,4 - VPM Validation,global_config only,vpm_scan/partial_wave_decomposition.py,none,"output/partial_wave_decomposition.png, PDF",Appendix C
18,4 - VPM Validation,global_config only,vpm_scan/vpm_born_ratio.py,none,"output/vpm_born_ratio.png, PDF",Appendix C
19,5 - Cross-checks,v22_raw_scan (data + code),cross_checks/blind_sanity.py,data/all_viable_representative_v8.csv,console,§4 validation
20,5 - Cross-checks,v22_raw_scan (data + code),cross_checks/blind_large.py,data/all_viable_representative_v8.csv,console,§4 validation
21,5 - Cross-checks,v22_raw_scan (code),cross_checks/tyz_comparison.py,none,output/v35_tyz_comparison.png,§3 vs TYZ13
22,5 - Cross-checks,v22_raw_scan (code) + hardcoded TYZ13,cross_checks/literature_crosscheck.py,none,console,§3 vs TYZ13 Table I
23,5 - Cross-checks,smart_scan (data) + v22_raw_scan (code),cross_checks/velocity_averaged.py,data/v31_true_viable_points.csv,output/v37_velocity_averaged.png,§4 MB averaging
24,5 - Cross-checks,smart_scan (data) + v22_raw_scan (code),cross_checks/sommerfeld.py,data/v31_true_viable_points.csv,output/v36_sommerfeld.png,§4 Sommerfeld
25,5 - Cross-checks,smart_scan (data) + v22_raw_scan (code),cross_checks/bullet_onesided.py,data/v31_true_viable_points.csv,console,§6 chi2 method
26,5 - Cross-checks,v22_raw_scan (code),cross_checks/transfer_vs_elastic.py,none,console,§3 sigma_T = sigma_el
27,6 - Cosmology,global_config only,cosmology/mediator_cosmology.py,none,console,§5.1 (Higgs portal excluded)
28,6 - Cosmology,global_config only,cosmology/bsf_estimate.py,none,console,§5.2 (BSF irrelevant)
